County Name,Population,Cases 03-04,Cases 03-05,Cases 03-06,Cases 03-09,Cases 03-10,Cases 03-11,Cases 03-12,Cases 03-13,Cases 03-15,Cases 03-16,Cases 03-17,Cases 03-18,Cases 03-19,Cases 03-20,Cases 03-21,Cases 03-22,Cases 03-23,Cases 03-24,Cases 03-25,Cases 03-26,Cases 03-27,Cases 03-28,Cases 03-29,Cases 03-30,Cases 03-31,Cases 04-01,Cases 04-02,Cases 04-03,Cases 04-04,Cases 04-05,Cases 04-06,Cases 04-07,Cases 04-08,Cases 04-09,Cases 04-10,Cases 04-11,Cases 04-12,Cases 04-13,Cases 04-14,Cases 04-15,Cases 04-16,Cases 04-17,Cases 04-18,Cases 04-19,Cases 04-20,Cases 04-21,Cases 04-22,Cases 04-23,Cases 04-24
Bell,394509.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,3.0,16.0,18.0,19.0,20.0,28.0,28.0,28.0,36.0,44,46.0,51.0,51.0,58.0,58.0,68.0,71.0,74.0,84.0,91.0,101.0,101.0,107.0,110.0,115.0,124.0,126.0,126.0,126.0,135.0,145.0,153.0,161.0
Bexar,2062088.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,4.0,6.0,12.0,24.0,24.0,24.0,57.0,69.0,84.0,113.0,125.0,140.0,157.0,168.0,207,229.0,254.0,342.0,384.0,410.0,456.0,503.0,554.0,615.0,665.0,723.0,772.0,794.0,815.0,890.0,918.0,959.0,992.0,1015.0,1029.0,1080.0,1126.0,1167.0
Blanco,13018.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1.0,1.0,2.0,2.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,6.0,6.0
Borden,698.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bosque,20522.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0
Bowie,95118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,4.0,9.0,9,9.0,10.0,17.0,17.0,14.0,17.0,20.0,23.0,29.0,30.0,32.0,32.0,32.0,37.0,45.0,53.0,56.0,57.0,57.0,64.0,66.0,66.0,67.0
Brazoria,410571.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,3.0,9.0,12.0,12.0,18.0,19.0,33.0,39.0,52.0,61.0,61.0,79.0,95,109.0,123.0,136.0,144.0,144.0,167.0,173.0,184.0,199.0,216.0,225.0,237.0,250.0,259.0,272.0,285.0,302.0,304.0,315.0,333.0,345.0,382.0,392.0
Brazos,239527.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,2.0,2.0,12.0,16.0,21.0,30.0,36.0,40.0,44.0,46.0,53,63.0,68.0,72.0,75.0,94.0,94.0,97.0,108.0,114.0,116.0,134.0,140.0,143.0,149.0,151.0,158.0,164.0,169.0,170.0,170.0,173.0,177.0,177.0
Brewster,10226.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Briscoe,1672.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
